Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18158523,La verdad sobre el caso Harry Quebert,Joël Dicker,"Dicker, Joël",Juan Carlos Durán Romero,"=""""","=""""",5,4.10,Alfaguara,Kindle Edition,639,2013,2012,,2021/11/27,,,read,,,,1,,,0,,,,,
19102611,Los años de peregrinación del chico sin color,Haruki Murakami,"Murakami, Haruki",Gabriel Álvarez Martínez,"=""""","=""""",5,3.86,Tusquets Editores S.A.,Kindle Edition,260,2013,2013,,2021/11/27,,,read,,,,1,,,0,,,,,
22130473,El mundo de afuera,Jorge Franco,"Franco, Jorge",,"=""""","=""""",3,3.63,Alfaguara,Kindle Edition,250,2014,2014,,2021/11/27,,,read,,,,1,,,0,,,,,
49982087,The Thorn Birds,Colleen McCullough,"McCullough, Colleen",,"=""""","=""""",5,4.22,HarperCollins e-books,Kindle Edition,704,2009,1977,,2021/11/27,,,read,,,,1,,,0,,,,,
23951297,Más allá del olvido,Patrick Modiano,"Modiano, Patrick",,"=""""","=""""",4,3.61,Alfaguara,Kindle Edition,115,2014,1995,,2021/11/27,,,read,,,,1,,,0,,,,,
23750967,Underground (Volumen Independiente),Haruki Murakami,"Murakami, Haruki","Fernando Cordobés, Yoko Ogihara","=""""","=""""",5,3.91,Tusquets Editores S.A.,Kindle Edition,560,2014,1997,,2021/11/27,,,read,,,,1,,,0,,,,,
25073422,Hombres sin mujeres,Haruki Murakami,"Murakami, Haruki",Gabriel Álvarez Martínez,"=""""","=""""",5,3.77,Tusquets,Kindle Edition,272,2015,2014,,2021/11/27,,,read,,,,1,,,0,,,,,
24741153,Los cuentos de la peste,Mario Vargas Llosa,"Llosa, Mario Vargas",,"=""""","=""""",5,3.70,ALFAGUARA,Kindle Edition,,2015,2015,,2021/11/27,,,read,,,,1,,,0,,,,,
23264419,Así empieza lo malo,Javier Marías,"Marías, Javier",,"=""""","=""""",5,3.97,Alfaguara,Kindle Edition,528,2014,2014,,2021/11/27,,,read,,,,1,,,0,,,,,
25220902,La luz que no puedes ver,Anthony Doerr,"Doerr, Anthony","Carmen M. Cáceres, Andrés Barba","=""""","=""""",4,4.32,SUMA INTERNACIONAL,Kindle Edition,664,2015,2014,,2021/11/27,,,read,,,,1,,,0,,,,,
