userID,ISBN,bookRating,bookTitle,bookAuthor,yearOfPublication,imageUrlM,totalRatingCount,City,State,Country
2276,0380002930,9,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,niskayuna,new york,usa
6575,0380002930,4,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,seattle,washington,usa
11676,0380002930,5,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,other,other,other
16634,0380002930,10,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,little rock,arkansas,usa
16795,0380002930,6,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,mechanicsville,maryland,usa
76626,0380002930,10,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,london,england,united kingdom
89602,0380002930,5,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,honolulu,hawaii,usa
105517,0380002930,8,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,calgary,alberta,canada
129716,0380002930,9,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,tallahassee,florida,usa
156150,0380002930,10,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,howell,new jersey,usa
172742,0380002930,10,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,astoria,oregon,usa
177432,0380002930,8,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,wichita,kansas,usa
189835,0380002930,7,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,honolulu,hawaii,usa
254206,0380002930,10,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,tucson,arizona,usa
270713,0380002930,10,Watership Down,Richard Adams,1976,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,18,toronto,ontario,canada
2276,0385505833,5,Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,12,niskayuna,new york,usa
11676,0385505833,8,Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,12,other,other,other
16795,0385505833,10,Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,12,mechanicsville,maryland,usa
23768,0385505833,6,Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,12,st. louis,missouri,usa
60244,0385505833,8,Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,12,alvin,texas,usa
104636,0385505833,8,Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,12,youngstown,ohio,usa
114368,0385505833,10,Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,12,mechanicsville,maryland,usa
140358,0385505833,5,Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,12,san diego,california,usa
162639,0385505833,8,Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,12,kelso,washington,usa
197659,0385505833,8,Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,12,indiana,pennsylvania,usa
2276,0440128757,8,The Gift,Madeena S. Nolan,1981,http://images.amazon.com/images/P/0440128757.01.MZZZZZZZ.jpg,14,niskayuna,new york,usa
2276,0440221471,10,The Runaway Jury,JOHN GRISHAM,1997,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,14,niskayuna,new york,usa
4385,0440221471,10,The Runaway Jury,JOHN GRISHAM,1997,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,14,albq,new mexico,usa
7346,0440221471,9,The Runaway Jury,JOHN GRISHAM,1997,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,14,sunnyvale,california,usa
11676,0440221471,9,The Runaway Jury,JOHN GRISHAM,1997,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,14,other,other,other
13552,0440221471,8,The Runaway Jury,JOHN GRISHAM,1997,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,14,cordova,tennessee,usa
68555,0440221471,7,The Runaway Jury,JOHN GRISHAM,1997,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,14,bad axe,michigan,usa
245827,0440221471,5,The Runaway Jury,JOHN GRISHAM,1997,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,14,albuquerque,other,other
265115,0440221471,8,The Runaway Jury,JOHN GRISHAM,1997,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,14,vista,california,usa
2276,0440236673,10,The Brethren,John Grisham,2000,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,15,niskayuna,new york,usa
7346,0440236673,8,The Brethren,John Grisham,2000,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,15,sunnyvale,california,usa
11676,0440236673,8,The Brethren,John Grisham,2000,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,15,other,other,other
25981,0440236673,5,The Brethren,John Grisham,2000,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,15,nj,new jersey,usa
39467,0440236673,9,The Brethren,John Grisham,2000,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,15,barcelona,catalunya,spain
68555,0440236673,7,The Brethren,John Grisham,2000,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,15,bad axe,michigan,usa
87141,0440236673,8,The Brethren,John Grisham,2000,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,15,huntington beach,california,usa
95359,0440236673,7,The Brethren,John Grisham,2000,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,15,charleston,west virginia,usa
135149,0440236673,8,The Brethren,John Grisham,2000,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,15,ft. pierce,florida,usa
2276,0446612790,10,2nd Chance,James Patterson,2003,http://images.amazon.com/images/P/0446612790.01.MZZZZZZZ.jpg,17,niskayuna,new york,usa
11676,0446612790,8,2nd Chance,James Patterson,2003,http://images.amazon.com/images/P/0446612790.01.MZZZZZZZ.jpg,17,other,other,other
